1979	197616	137827	148759	472416	179098	235303	16853	24500	68007	36258	19018	53574	133865	43221	92434	62375	45070	10488	15054	23180	82098	62273	90285	476234	157852	
1980	195024	131856	136883	455441	177527	205433	16691	23983	64780	37512	18386	48922	123301	42466	117730	56714	41378	10320	14578	21884	80303	60447	88641	424574	134846	
1981	184477	130709	131210	432381	170052	189242	15042	22966	63365	29374	17608	46228	110531	41233	122942	55976	39649	9760	13825	15522	78686	58657	80944	395301	131057	
1982	229520	166516	143651	471065	186936	169989	20578	28605	57214	31003	18027	44436	106791	37183	154588	52273	34218	11529	15493	21211	69532	53668	70030	265250	119408	
1983	344786	149645	126531	375897	57717	146058	22505	11662	29914	40730	28500	47187	97090	24148	58131	88772	41826	14258	18231	18298	29601	51322	79987	196381	210961	
1984	308315	268261	81333	427677	31826	139089	12682	18358	37608	53783	12766	42085	133730	17048	125011	42531	48533	15941	22758	30663	5995	56527	75311	506571	186454	
1985	190013	187471	40245	349169	60101	52959	21318	29049	34219	28530	18285	35843	144674	40330	158092	48611	11220	12389	11394	8146	26580	47255	55785	311697	160408	
1986	205328	153612	73396	335918	53934	41749	12251	17559	68989	35556	16977	33002	121609	26345	331461	37840	18683	10125	14571	6726	19285	70088	49302	241428	138952	
1987	206150	178168	89400	405439	84664	36800	8385	16955	27649	39697	9190	27115	99900	51090	455290	17930	6377	10720	15966	12165	37313	47538	39127	160709	148818	
1988	193227	152979	43438	422129	112572	18651	10722	16594	26926	27702	5117	36021	98471	79554	372439	12294	54343	10902	22294	22529	16267	36028	41276	158102	154562	
1989	197280	208511	26664	250717	77556	27080	10521	20104	10941	68702	13803	23921	109850	83646	181677	38383	4800	14733	41166	18236	17441	45493	49874	176325	131343	
1990	235112	154733	38142	348488	67940	32700	10673	16022	40138	43304	6468	23461	135014	72739	117197	20293	10083	21238	36913	35150	27587	41584	46856	148542	129393	
1991	205981	194792	38898	248589	52784	30652	12202	23261	24711	102511	8726	18480	68699	57176	103448	25880	12299	24842	37524	48307	11152	32116	31986	153332	169267	
1992	145523	142838	59084	368394	72017	35425	14218	17963	27391	40632	4260	17568	46253	68306	50373	12799	6542	20518	43742	26475	15931	31482	36726	154734	126673	
1993	188909	162367	34193	325557	57070	31609	9843	18130	16152	58066	3561	16025	47955	77789	49376	10924	5143	24656	44147	30849	11487	26852	28407	157741	111357	
1994	157187	166566	24963	161691	5749	11896	12843	10500	17886	40493	8208	30745	76283	45802	31346	30195	9698	19349	42725	24727	0	29625	36211	85778	126763	
1995	139379	106649	36606	214188	49882	36758	8272	12452	28176	23766	11510	28322	67785	51769	27613	32232	21379	9716	28947	12047	18317	34988	36294	143071	133004	
1996	156375	130835	50658	322526	77543	58305	9307	15148	31467	28177	12083	32343	79541	63151	114338	31206	20486	13103	31395	16767	23098	40878	38192	204566	151812	
1997	256619	177770	62252	354349	80424	45793	13874	20899	34065	51157	12112	33658	89407	64067	173812	34877	18048	19094	32758	27278	23364	45672	39671	175922	176730	
