1979	2734	47495	42954	132591	13405	17561	11341	12252	6850	16429	25065	17867	9683	1390	14199	834	5300	7139	33795	12517	20295	18300	19246	10265	17856	24967	73783	21527	1717	
1980	2806	49286	43768	121192	19699	23301	10615	11705	5143	14062	25412	17847	9699	1370	14210	830	5265	7124	26334	37511	14351	18748	18570	7824	18015	25498	71701	21167	581	
1981	2848	50928	44096	106494	11260	12707	10413	11393	3769	11544	26068	17820	9729	1362	14213	828	5230	7073	25711	19961	36247	16185	21050	9233	18016	26221	68902	20781	270	
1982	3493	48467	78435	98314	25631	12989	9656	9794	5060	11539	23183	17000	7820	685	13305	729	4758	4291	30520	41303	54678	18284	16614	24946	27424	25738	61072	15131	557	
1983	7788	53521	71045	105167	14816	5569	9163	8510	7146	29080	17444	9837	5430	488	11307	391	3971	9323	56660	9343	84934	16363	14543	28031	23763	17623	42958	9505	558	
1984	5653	77880	91030	98355	42985	15805	9346	8952	9367	33527	32530	15476	7006	722	16976	478	3735	11435	69803	9853	61078	11344	8181	30278	27605	22487	102264	29045	324	
1985	7025	107773	119535	152438	70515	22296	13775	8955	15807	31391	21633	15007	6217	902	23273	1253	4690	9536	124880	3123	82367	10184	8692	24632	28941	24082	73351	12906	438	
1986	9974	122014	142187	184138	25867	7255	21872	6407	13120	19818	21574	14747	5925	696	17302	1362	4358	14520	132472	661	77550	12370	11578	20608	18436	26153	92453	21597	430	
1987	9836	117903	126051	95274	65318	16643	20801	6496	10850	12072	24790	24060	6829	621	11090	1259	4682	33689	175807	733	171604	15309	22407	49940	33301	32692	117021	26912	265	
1988	6520	127956	127348	44691	54287	15675	20045	7319	5804	10554	26819	20295	6573	1185	13758	725	4400	38404	214741	664	78514	20832	23139	57296	35820	31203	138344	33797	364	
1989	6823	135015	99064	54323	85311	17145	22102	7990	8490	27904	38543	25132	9747	1108	11524	780	2996	41885	144878	852	52160	12372	25308	48614	23409	28343	105361	29766	236	
1990	4449	120421	127069	150965	106457	22911	14249	11743	11980	29843	30414	32873	8831	1073	14979	843	3904	20833	110593	1031	35517	5325	13166	50269	13588	24682	87964	11713	122	
1991	3587	109342	107829	96724	99021	25937	17772	13297	10389	12193	18614	18118	5740	1324	6011	1569	2309	24592	61536	1924	40864	4096	9842	33314	14735	18474	106891	28981	311	
1992	5822	137329	90974	106493	71414	19527	14753	16876	11032	4931	28030	15961	5233	1641	6167	756	2518	30967	34181	1179	39888	4788	10132	24129	24396	14724	182338	20240	269	
1993	8431	153044	128298	145231	58401	16776	27917	15944	10550	7281	25833	18975	5273	1678	11846	1079	2720	34558	49756	1097	50805	5840	6611	28760	24783	19296	158470	26474	169	
1994	7881	156008	144792	179383	97562	29428	40466	19914	20350	12507	31391	26151	6502	1856	12124	2197	4020	32838	90346	1846	76527	5163	26566	40766	25589	31579	134070	24475	166	
1995	7503	159463	140915	163869	112449	32579	25438	22356	20595	12228	25057	25821	6999	2180	8812	1822	3507	40003	124570	1505	91595	6078	23261	44089	26053	29111	128472	26568	190	
1996	9134	170814	149804	166198	110565	28524	27393	23336	20672	6246	31023	25345	6997	2375	9879	1426	3510	40133	117883	1231	91478	7237	19222	44295	26201	19683	125186	28894	162	
1997	10551	178341	157521	201116	110794	30854	28920	24200	24150	9271	31693	25884	7115	2518	12691	1848	3862	40276	118148	1822	93275	8384	19360	44407	26409	21155	122289	28900	132	
1998	10725	180817	159792	231832	112746	36945	35787	25976	30371	14379	35313	26432	7317	2794	12532	2304	4330	40593	126098	1801	95734	8201	19509	44611	26618	29776	123960	29475	131	
1999	10765	182558	160871	231369	113618	38453	36234	26426	30722	13051	31870	26449	7343	3017	11479	2201	4273	40769	127536	1477	95990	9403	19562	44727	26686	33456	124826	29596	127	
2000	11291	184764	161746	231793	113792	37984	34837	26477	30627	8056	36126	26359	7328	3140	12322	2114	4293	40814	127399	1874	96275	11140	19574	44758	26740	27590	125025	29677	111	
2001	11709	186337	162597	253734	114516	39772	35770	27068	31256	11651	37573	26709	7459	3318	13444	2327	4480	40926	127898	2068	98210	12708	19642	44831	26884	24865	125420	29761	101	
2002	11843	187173	163256	274967	115433	42020	36805	27648	31906	15591	38110	27063	7597	3510	13423	2420	4645	41100	128890	1819	99947	13004	19727	44940	27026	30368	126043	29886	97	
2003	11900	187720	163526	279884	115867	42767	37748	27757	32037	14616	38170	27116	7626	3613	13233	2432	4667	41207	129504	2046	100391	13684	19767	45005	27094	35657	126429	29968	90	
2004	11974	188099	163595	280165	115914	42988	37748	27700	31973	10367	37981	27011	7602	3680	13633	2429	4684	41226	129603	2331	100289	13772	19769	45018	27110	34078	126499	29985	81	
