
island Puget_Sound_group
latlon 47 23 47 N 122 24 26 W
latlon 47 22 32 N 122 25 13 W
latlon 47 20 31 N 122 27 59 W
latlon 47 22 9 N 122 28 7 W
latlon 47 23 29 N 122 26 13 W
latlon 47 23 24 N 122 27 57 W
latlon 47 23 7 N 122 28 7 W
latlon 47 20 48 N 122 29 30 W
latlon 47 20 7 N 122 31 15 W
latlon 47 22 48 N 122 30 57 W
latlon 47 24 17 N 122 31 12 W
latlon 47 26 1 N 122 30 42 W
end (Puget_Sound_group)

island Puget_Sound_group
latlon 47 14 52 N 122 55 14 W
latlon 47 16 49 N 122 54 12 W
latlon 47 17 20 N 122 51 58 W
latlon 47 15 34 N 122 52 15 W
latlon 47 12 2 N 122 50 55 W
latlon 47 10 11 N 122 52 29 W
latlon 47 13 57 N 122 55 16 W
latlon 47 14 52 N 122 55 14 W
end (Puget_Sound_group)

river Nass
latlon 55 0 41 N 129 34 18 W
latlon 55 3 5 N 129 28 3 W
latlon 55 6 2 N 129 24 0 W
latlon 55 7 31 N 129 24 20 W
latlon 55 9 21 N 129 19 58 W
latlon 55 9 43 N 129 16 12 W
latlon 55 11 25 N 129 13 11 W
latlon 55 14 34 N 129 5 46 W
latlon 55 18 25 N 129 4 39 W
latlon 55 22 52 N 129 1 48 W
latlon 55 24 51 N 129 0 48 W
latlon 55 27 9 N 128 58 54 W
latlon 55 28 53 N 128 55 32 W
latlon 55 30 45 N 128 52 17 W
latlon 55 36 21 N 128 44 34 W
latlon 55 39 24 N 128 45 38 W
latlon 55 45 52 N 128 51 41 W
latlon 55 53 46 N 129 2 2 W
latlon 55 57 59 N 129 6 0 W
latlon 56 1 56 N 129 8 53 W
latlon 56 9 6 N 129 11 19 W
latlon 56 9 5 N 129 2 46 W
latlon 56 11 17 N 128 49 51 W
latlon 56 13 11 N 128 44 0 W
latlon 56 18 15 N 128 41 33 W
latlon 56 20 16 N 128 41 22 W
latlon 56 21 59 N 128 39 48 W
latlon 56 23 9 N 128 37 38 W
latlon 56 20 17 N 128 28 42 W
latlon 56 24 49 N 128 25 4 W
latlon 56 26 19 N 128 24 21 W
latlon 56 28 42 N 128 22 46 W
latlon 56 31 14 N 128 21 14 W
latlon 56 31 41 N 128 19 39 W
latlon 56 35 1 N 128 22 42 W
latlon 56 38 51 N 128 33 15 W
latlon 56 44 3 N 128 38 30 W
latlon 56 48 56 N 128 43 25 W
latlon 56 51 54 N 128 47 34 W
latlon 56 54 0 N 128 51 57 W
latlon 56 59 13 N 128 54 42 W
latlon 57 2 40 N 128 57 58 W
latlon 57 7 58 N 129 4 4 W
end (river Nass)
 
coastline
latlon 55 0 41 N 129 34 18 W
latlon 55 0 0 N 129 37 34 W
latlon 54 59 26 N 129 39 4 W
latlon 54 59 17 N 129 41 46 W
latlon 54 59 35 N 129 44 40 W
latlon 54 59 40 N 129 46 52 W
latlon 54 59 51 N 129 52 18 W
latlon 54 59 1 N 129 55 41 W
latlon 54 59 28 N 129 57 21 W
latlon 55 0 10 N 130 0 16 W
latlon 55 1 21 N 130 0 0 W
latlon 55 3 17 N 129 59 22 W
latlon 55 5 9 N 129 57 40 W
latlon 55 6 23 N 129 56 34 W
latlon 55 9 11 N 129 52 37 W
latlon 55 10 36 N 129 52 3 W
latlon 55 12 37 N 129 51 12 W
latlon 55 14 34 N 129 49 5 W
latlon 55 15 55 N 129 48 7 W
latlon 55 16 21 N 129 46 14 W
latlon 55 17 38 N 129 45 11 W
latlon 55 18 4 N 129 44 31 W
latlon 55 19 33 N 129 43 40 W
latlon 55 21 16 N 129 42 33 W
latlon 55 22 13 N 129 41 16 W
latlon 55 23 41 N 129 40 38 W
latlon 55 25 20 N 129 40 10 W
latlon 55 24 43 N 129 42 43 W
latlon 55 26 6 N 129 43 3 W
latlon 55 27 19 N 129 43 22 W
latlon 55 28 54 N 129 45 12 W
latlon 55 32 13 N 129 46 3 W
latlon 55 33 14 N 129 46 57 W
latlon 55 35 19 N 129 46 36 W
latlon 55 36 42 N 129 47 19 W
latlon 55 37 11 N 129 48 41 W
latlon 55 35 50 N 129 48 1 W
latlon 55 34 2 N 129 48 22 W
latlon 55 31 34 N 129 47 41 W
latlon 55 29 23 N 129 46 21 W
latlon 55 28 6 N 129 45 58 W
latlon 55 25 49 N 129 46 28 W
latlon 55 23 37 N 129 47 0 W
latlon 55 22 7 N 129 46 53 W
latlon 55 21 23 N 129 46 39 W
latlon 55 20 41 N 129 48 1 W
latlon 55 19 23 N 129 49 35 W
latlon 55 18 17 N 129 49 23 W
latlon 55 16 28 N 129 49 13 W
latlon 55 15 5 N 129 50 36 W
latlon 55 13 54 N 129 51 53 W
latlon 55 11 8 N 129 53 19 W
latlon 55 9 17 N 129 54 32 W
latlon 55 7 54 N 129 56 24 W
latlon 55 7 3 N 129 57 43 W
latlon 55 5 55 N 129 59 4 W
latlon 55 4 55 N 130 0 10 W
latlon 55 3 11 N 130 1 23 W
latlon 55 0 0 N 130 3 24 W
latlon 54 58 52 N 130 5 48 W
latlon 55 0 0 N 130 7 35 W
latlon 55 1 27 N 130 8 23 W
latlon 55 3 1 N 130 8 58 W
latlon 55 4 43 N 130 9 54 W
latlon 55 6 28 N 130 8 49 W
latlon 55 8 35 N 130 8 2 W
latlon 55 11 8 N 130 5 27 W
latlon 55 13 29 N 130 1 59 W
latlon 55 15 18 N 129 59 35 W
